,window_size,MAPE,RMSE,R2,MAE,SMAPE
0,1,0.103703584851296,4.421229096433775,0.9326732063579525,2.6811507392574,10.07082765701965
0,2,0.06502630622810589,2.77163143834747,0.9737114285743981,1.7548507703404848,6.639410787403946
0,3,0.05932753216193656,2.343944174600902,0.9813167523199817,1.5502580028690705,5.7541730921762655
0,4,0.04729351070940814,1.9879776313280524,0.986652447010336,1.325137421180462,4.767469476700114
0,5,0.04677427159601998,1.8312747159011353,0.9887481599427133,1.2703048321935866,4.632049036674008
0,6,0.04730629335995002,1.9057898856861482,0.9878919892288044,1.2867434041483419,4.650084713574667
0,7,0.04528716783940423,1.8303422902598228,0.9888938832592268,1.2581498387833716,4.556158018084909
0,8,0.04661509364033655,1.8755300776635568,0.9883942950671213,1.2912769249990477,4.722945955636006
0,9,0.0468395931069339,1.8457373486673223,0.9887956076856507,1.2869762420654296,4.675049850089632
0,10,0.04852739549964641,1.8684353593003502,0.9885391050057485,1.3077561838163747,4.802749962386362
0,11,0.055462171271552944,2.3908379841327028,0.9812803979705154,1.5542805160301318,5.580833830948142
0,12,0.051891015510722886,2.127993081956675,0.9851954283768538,1.4327470821185704,5.108329988004287
0,13,0.05828490895720691,2.547969513041804,0.978852571049396,1.6248716396443985,5.919207525328334
0,14,0.07649547923732787,3.217454586040517,0.9663076960086687,2.047576897232621,7.4790549609772885
