,Method,Indicator,MSE,MAPE,RMSE,R2,MAE,SMAPE
0,BP,AQI,3.976183911245994,0.02903805775334795,1.9940370887338064,0.9520625864083323,1.4240145417394248,2.8591179119973384
0,RNN,AQI,3.2841002416920753,0.02601569755889955,1.8122086639490704,0.9604064411816515,1.2958305670869394,2.570546329687569
0,LSTM,AQI,3.0119104327497896,0.02342572311037073,1.7354856475205405,0.9636879985084641,1.1689110724013092,2.3350252855221543
0,BP,PM2.5,1.441369574395493,0.0381634704635313,1.2005705203758308,0.9391608508939323,0.909641495457402,3.776341036065066
0,RNN,PM2.5,1.2464145833559894,0.03656200225263968,1.1164293902240254,0.947389757608436,0.873818263301143,3.6359513547745492
0,LSTM,PM2.5,1.2437743239545178,0.03669581386522495,1.1152463064070277,0.9475012010149421,0.8790995809766982,3.6479905612283696
0,BP,PM10,10.19239750101123,0.03971568341733001,3.192553445286583,0.9459848474443577,2.0560202970823833,3.8794168451226843
0,RNN,PM10,8.68492718681598,0.034100716349196376,2.9470200519874274,0.9539737665368755,1.827749160142636,3.3445967079417693
0,LSTM,PM10,8.413078640659116,0.03191171551706921,2.9005307515451575,0.9554144423632682,1.71518948352913,3.147523926700594
0,BP,SO2,0.4277640099007798,0.050388002781465754,0.6540367037871649,0.9819661875682301,0.46055265885812263,4.903363726607309
0,RNN,SO2,0.3294997077782101,0.043543010517360224,0.5740206510032632,0.9861088455576861,0.4063402228885227,4.282244330352073
0,LSTM,SO2,0.3483349245103379,0.04512606884397626,0.5901990549893636,0.9853147844450232,0.41856060557895236,4.412595603465251
0,BP,NO2,4.503820469342194,0.06656497863044596,2.122220645772299,0.9698698696767036,1.6597809473673502,6.5887701089473225
0,RNN,NO2,3.6372151932656323,0.05898278297315371,1.9071484455242682,0.975667376501139,1.4867308952190257,5.938131738243778
0,LSTM,NO2,3.4442841366958024,0.05685812157904186,1.8558782655917392,0.9769580669088561,1.4293716413003428,5.694248845811704
0,BP,O3,17.627884393048003,0.051856232646267694,4.198557418095887,0.9877044539533362,3.214197945238939,5.099867799216319
0,RNN,O3,14.156654114791289,0.04587724850953654,3.7625329386985156,0.9901256561108516,2.8641790347312814,4.481259974771444
0,LSTM,O3,14.24299208784243,0.04582608875084437,3.773988882845633,0.9900654349011161,2.8835745676239926,4.461412137924903
0,BP,CO,9.03109352329444,0.03962261691318902,3.005177785638387,0.9919171679260329,2.0445919160489683,3.6258487466496714
0,RNN,CO,8.17429315486388,0.035768555954076596,2.8590720793404074,0.9926840045755565,1.9466506834383364,3.4501618481634826
0,LSTM,CO,7.46416738684838,0.03444315482371104,2.73206284460083,0.9933195674029661,1.7732183668348525,3.1903997577642764
